query,transform,gold,rank_pos,top1_name,top1_dist,top1_geom,top1_combined,pred@K,dist@K,geom@K,combined@K
0000003_bright.jpg,bright,0000003.jpg,6,0000149.jpg,534.7464599609375,0.28824324324324324,0.878372,0000149.jpg;0000523.jpg;0000340.jpg;0000315.jpg;0000220.jpg;0000003.jpg;0000267.jpg;0000025.jpg;0000253.jpg;0000118.jpg;0000204.jpg;0000133.jpg;0000569.jpg;0000111.jpg;0000046.jpg;0000122.jpg;0000411.jpg;0000333.jpg;0000191.jpg;0000159.jpg,534.7465;632.3107;732.5304;794.3415;810.7924;59.0922;2082.5518;2112.2449;2190.5818;2428.2666;2483.5625;2469.6655;2737.1797;2760.4314;2845.6819;3002.8330;3040.3250;3079.4529;3130.7227;3145.8088,0.2882;0.1221;0.1514;0.1792;0.1315;4.8802;0.1441;0.1052;0.1150;0.1915;0.0675;0.2119;0.1150;0.1454;0.1918;0.1514;0.2100;0.1688;0.1529;0.1514,0.8784;0.8666;0.8420;0.8263;0.8255;0.7000;0.5364;0.5320;0.5137;0.4550;0.4502;0.4443;0.3897;0.3825;0.3603;0.3272;0.3150;0.3087;0.2981;0.2948
0000003_flip.jpg,flip,0000003.jpg,2,0000523.jpg,653.8363037109375,0.10865384615384616,0.8187774,0000523.jpg;0000003.jpg;0000149.jpg;0000315.jpg;0000220.jpg;0000340.jpg;0000025.jpg;0000253.jpg;0000267.jpg;0000122.jpg;0000133.jpg;0000118.jpg;0000569.jpg;0000204.jpg;0000159.jpg;0000111.jpg;0000046.jpg;0000411.jpg;0000333.jpg;0000191.jpg,653.8363;180.3632;502.4533;665.8318;680.8070;637.9667;2261.4351;2316.3501;2271.0981;3191.8281;2578.3237;2527.7954;2928.4990;2605.5986;3208.4890;2943.7568;3028.2153;3142.0002;3293.8130;3299.0913,0.1087;0.1729;0.1514;0.1433;0.1596;0.1792;0.1315;0.1596;0.1792;0.0675;0.1579;0.1792;0.1375;0.1842;0.1211;0.1638;0.1911;0.2305;0.2150;0.2322,0.8188;0.8081;0.7749;0.7529;0.7200;0.6939;0.4163;0.3529;0.3274;0.3241;0.2972;0.2697;0.2557;0.2432;0.2227;0.2043;0.1357;0.0383;0.0326;0.0000
0000003_rot90.jpg,rot90,0000003.jpg,6,0000340.jpg,2006.804931640625,0.14,0.9978266,0000340.jpg;0000315.jpg;0000149.jpg;0000220.jpg;0000523.jpg;0000003.jpg;0000267.jpg;0000025.jpg;0000253.jpg;0000118.jpg;0000111.jpg;0000133.jpg;0000204.jpg;0000050.jpg;0000487.jpg;0000411.jpg;0000569.jpg;0000051.jpg;0000159.jpg;0000122.jpg,2006.8049;2090.6941;2191.9377;2216.7231;2336.9026;2019.8387;3118.6719;3233.9026;3298.1917;3369.4685;3377.1035;3402.1118;3433.4124;3482.1396;3486.2061;3544.1807;3550.0532;3613.2180;3637.3552;3649.5063,0.1400;0.1514;0.4232;0.2550;0.2495;10.0749;0.1315;0.1915;0.1276;0.1441;0.1514;0.1792;0.2100;0.1221;0.1490;0.1514;0.1911;0.0675;0.1375;0.1514,0.9978;0.9617;0.9104;0.9049;0.8539;0.6944;0.5243;0.4734;0.4479;0.4170;0.4136;0.4021;0.3878;0.3697;0.3671;0.3424;0.3387;0.3155;0.3031;0.2975
0000017_bright.jpg,bright,0000017.jpg,2,0000316.jpg,1573.0093994140625,0.05045454545454545,0.7625507,0000316.jpg;0000017.jpg;0000267.jpg;0000122.jpg;0000111.jpg;0000053.jpg;0000196.jpg;0000204.jpg;0000025.jpg;0000046.jpg;0000253.jpg;0000333.jpg;0000191.jpg;0000050.jpg;0000411.jpg;0000118.jpg;0000569.jpg;0000487.jpg;0000026.jpg;0000133.jpg,1573.0094;829.8276;2048.0703;2208.2397;2237.9028;2425.2197;2472.2422;2614.9507;2695.7896;2738.4680;2726.0493;2735.1770;2885.8125;2897.7852;2966.0886;2940.3633;2957.2319;2955.0383;3016.2134;3051.3159,0.0505;2.1336;0.1579;0.1441;0.1087;0.1261;0.0961;0.1631;0.0275;0.1211;0.1514;0.1514;0.1350;0.1261;0.0373;0.1212;0.1087;0.1677;0.0869;0.1304,0.7626;0.7000;0.5975;0.5491;0.5447;0.4832;0.4727;0.4182;0.4120;0.3852;0.3848;0.3820;0.3368;0.3343;0.3255;0.3216;0.3181;0.3104;0.3026;0.2853
0000017_flip.jpg,flip,0000017.jpg,1,0000017.jpg,119.21498107910156,0.1225,0.95795083,0000017.jpg;0000267.jpg;0000053.jpg;0000316.jpg;0000122.jpg;0000253.jpg;0000333.jpg;0000196.jpg;0000487.jpg;0000046.jpg;0000111.jpg;0000229.jpg;0000050.jpg;0000411.jpg;0000204.jpg;0000118.jpg;0000026.jpg;0000133.jpg;0000191.jpg;0000025.jpg,119.2150;2446.1484;2701.2075;2219.5752;2555.2261;2904.1919;2871.3625;2675.8506;3099.3232;3030.3384;2618.6274;3070.2705;2923.4048;3040.7656;2906.4282;3099.2729;3060.5308;3188.2974;3080.5103;2965.3152,0.1225;0.1276;0.1051;0.1514;0.1514;0.1315;0.1350;0.1688;0.1304;0.1454;0.1918;0.1529;0.1729;0.1729;0.1911;0.1842;0.1911;0.1792;0.2100;0.2293,0.9580;0.4148;0.4111;0.4092;0.3326;0.3009;0.3000;0.2631;0.2592;0.2386;0.2204;0.2115;0.1966;0.1699;0.1566;0.1293;0.1215;0.1211;0.0712;0.0509
0000017_rot90.jpg,rot90,0000017.jpg,5,0000050.jpg,1832.2828369140625,0.05045454545454545,1.0,0000050.jpg;0000229.jpg;0000053.jpg;0000196.jpg;0000017.jpg;0000548.jpg;0000487.jpg;0000316.jpg;0000171.jpg;0000111.jpg;0000267.jpg;0000122.jpg;0000046.jpg;0000051.jpg;0000411.jpg;0000025.jpg;0000333.jpg;0000118.jpg;0000569.jpg;0000003.jpg,1832.2828;2273.0000;2303.8245;2501.2090;2142.4531;2973.6516;3072.0825;3145.9153;3151.4624;3236.1968;3274.7136;3292.4062;3394.8555;3428.2695;3467.7422;3463.3928;3479.8154;3492.3589;3575.7302;3581.8665,0.0505;0.1688;0.1441;0.1688;9.7572;0.1579;0.1018;0.1375;0.1911;0.0526;0.1375;0.1350;0.1767;0.2422;0.1350;0.1915;0.0931;0.1792;0.1792;0.1514,1.0000;0.8200;0.8084;0.7287;0.5759;0.5400;0.5024;0.4717;0.4679;0.4382;0.4202;0.4132;0.3709;0.3555;0.3430;0.3430;0.3395;0.3318;0.2985;0.2969
0000025_bright.jpg,bright,0000025.jpg,3,0000118.jpg,610.299560546875,0.1910714285714286,0.8436873,0000118.jpg;0000133.jpg;0000025.jpg;0000253.jpg;0000267.jpg;0000411.jpg;0000051.jpg;0000204.jpg;0000333.jpg;0000122.jpg;0000569.jpg;0000026.jpg;0000111.jpg;0000191.jpg;0000046.jpg;0000487.jpg;0000003.jpg;0000523.jpg;0000220.jpg;0000340.jpg,610.2996;707.6176;45.9348;1135.5936;1096.3687;1517.2893;1629.8711;1628.7393;1678.6440;1795.3923;1818.3292;1868.7058;1883.7980;1889.3850;1925.1532;1935.3730;2136.6255;2478.0178;2516.1372;2613.8848,0.1911;0.1514;7.8248;0.3363;1.0371;0.1454;0.1315;0.2300;0.1638;0.2100;0.1767;0.1596;0.1767;0.2322;0.1767;0.1315;0.2048;0.1276;0.2398;0.2017,0.8437;0.8187;0.7000;0.6948;0.6782;0.5982;0.5681;0.5646;0.5535;0.5199;0.5150;0.5019;0.4971;0.4934;0.4858;0.4848;0.4271;0.3370;0.3223;0.2971
0000025_flip.jpg,flip,0000025.jpg,1,0000025.jpg,88.7442626953125,0.145,0.83269227,0000025.jpg;0000118.jpg;0000267.jpg;0000253.jpg;0000133.jpg;0000026.jpg;0000191.jpg;0000204.jpg;0000411.jpg;0000487.jpg;0000051.jpg;0000569.jpg;0000122.jpg;0000333.jpg;0000046.jpg;0000111.jpg;0000003.jpg;0000220.jpg;0000340.jpg;0000523.jpg,88.7443;623.3533;1030.5443;1090.2480;692.2416;1788.4150;1785.2456;1614.0837;1392.0663;1804.6770;1541.5028;1764.4194;1783.4954;1533.9570;1840.9873;1865.1309;2043.5492;2451.6821;2595.7080;2461.0071,0.1450;0.1688;0.1315;0.1596;0.2600;0.0000;0.0485;0.1100;0.1918;0.1212;0.2100;0.1688;0.1688;0.2322;0.1792;0.1915;0.1767;0.1304;0.1441;0.2150,0.8327;0.6560;0.5852;0.5363;0.5315;0.5254;0.4704;0.4472;0.4148;0.3810;0.3520;0.3374;0.3321;0.3285;0.3040;0.2831;0.2503;0.1898;0.1338;0.0895
0000025_rot90.jpg,rot90,0000025.jpg,5,0000118.jpg,2404.269775390625,0.1211111111111111,0.88900924,0000118.jpg;0000487.jpg;0000133.jpg;0000051.jpg;0000025.jpg;0000267.jpg;0000050.jpg;0000411.jpg;0000333.jpg;0000229.jpg;0000569.jpg;0000191.jpg;0000548.jpg;0000253.jpg;0000046.jpg;0000196.jpg;0000026.jpg;0000122.jpg;0000053.jpg;0000111.jpg,2404.2698;2465.2800;2479.6997;2553.3623;2265.2275;2684.5005;2719.2285;2732.9736;2827.8572;2856.1292;2909.9194;2936.9097;2963.2903;2994.1162;3074.9810;3102.2625;3130.0515;3137.8052;3157.2832;3171.7681,0.1211;0.0000;0.1729;0.1688;10.0174;1.0126;0.1276;0.1579;0.2208;0.1315;0.1688;0.2600;0.2100;0.2850;0.1433;0.1261;0.1441;0.2208;0.1433;0.1433,0.8890;0.8455;0.8292;0.7725;0.7000;0.6459;0.6456;0.6341;0.5589;0.5398;0.4971;0.4736;0.4547;0.4286;0.3704;0.3499;0.3279;0.3196;0.3069;0.2957
0000026_bright.jpg,bright,0000026.jpg,4,0000411.jpg,669.8197631835938,0.19416666666666665,0.84077936,0000411.jpg;0000051.jpg;0000487.jpg;0000026.jpg;0000122.jpg;0000118.jpg;0000253.jpg;0000025.jpg;0000111.jpg;0000267.jpg;0000133.jpg;0000196.jpg;0000333.jpg;0000053.jpg;0000204.jpg;0000191.jpg;0000229.jpg;0000046.jpg;0000569.jpg;0000017.jpg,669.8198;777.2125;976.2150;25.0495;1502.3955;1856.7444;1879.5742;1909.4869;1901.7067;2025.7452;2080.1765;2123.1265;2214.3721;2286.2781;2398.3782;2573.1809;2628.8594;2641.4678;2763.4834;2934.4443,0.1942;0.1269;0.3410;8.5336;0.0789;0.1276;0.1051;0.1315;0.2025;0.0869;0.1915;0.1514;0.1425;0.2458;0.1261;0.1051;0.1729;0.2293;0.1817;0.2100,0.8408;0.8173;0.7619;0.7000;0.6446;0.5576;0.5529;0.5447;0.5441;0.5183;0.5015;0.4926;0.4710;0.4500;0.4273;0.3860;0.3702;0.3652;0.3375;0.2953
